Date,Pop Load Slip #,Count,Sample Loads,TM9/Ticket#,Owner,Disposition/FMA#,Working Circle,Block #,Logging Co.,Haule By,Truck License Plate #,Truck #,Truck Axle,Gross Weight,Tare Weight,Net Weight,Received # of Pieces from Load Slip,Date Barkie Load inspection Report - Completed,Total Logs Inspected,Total Logs to Peeler,Logs Rejected
2016-05-16,626,10,,S975977,WEST FRASER HWP,FMA8800025,EMB,5180490295,Lydell,TIM YOUNG,14291P,BWP 83,7,41810,25220,16590,28,2016-05-19,28,25,3
2016-05-17,680,10,,WD00146426,WEYERHAEUSER DV,FMA0900046,DV1,5100512511,,BARMAC,L09406,D645,8,59190,21000,38190,,,,,0
2016-05-17,680,11,,WD00146430,WEYERHAEUSER DV,FMA0900046,DV1,5100512511,,BARMAC,K77239,D4,8,62120,20530,41590,,,,,0
2016-05-18,680,12,,WD00146441,WEYERHAEUSER DV,FMA0900046,DV1,5100512511,,BARMAC,J97513,D364,8,60490,22270,38220,,,,,0
2016-05-18,680,13,,WD00146446,WEYERHAEUSER DV,FMA0900046,DV1,5100512507,,BARMAC,K64879,D1014,8,59940,20840,39100,,,,,0
2016-05-24,626,11,,U003752947,WEYERHAEUSER GP,FMA6900016,GPC,6080633158,,MURTRON,G80443,,7,48060,22130,25930,47,2016-05-25,47,46,1
2016-05-25,626,12,,U004305637,WEYERHAEUSER EDSON,FMA0900046,E15,5160490134,D. Bowman,RL HARRIS,C18542,D661,7,52050,23170,28880,34,2016-05-31,34,32,2
2016-05-31,630,18,,U004313420,OLIVER'S CONTRACTING,PRIVATE,,NW22-54-16-W5,,ALEVOG ,L00904,E604,7,62680,26880,35800,,,,,0
2016-06-03,630,19,,U004313421,OLIVER'S CONTRACTING,PRIVATE,,NW22-54-16-W5,,ALEVOG ,L00904,E604,7,60390,26690,33700,,,,,0
2016-06-04,630,20,,U004312881,OLIVER'S CONTRACTING,PRIVATE,,NW22-54-16-W5,,ALEVOG ,L59404,E605,7,59570,26270,33300,,,,,0
2016-06-05,626,13,,U004313479,WEYERHAEUSER DV,FMA0900046,DV1,5100512507,Todd Graham,TIM YOUNG,14291P,BWP 83,7,48520,25390,23130,37,2016-06-07,37,37,0
2016-06-06,626,14,,U004313480,WEYERHAEUSER EDSON,FMA0900046,E15,5160490134,D. Bowman,TIM YOUNG,14291P,BWP 83,7,54930,25300,29630,37,2016-06-06,37,34,3
2016-06-06,626,15,,U004313481,WEYERHAEUSER EDSON,FMA0900046,E15,5160490134,D. Bowman,TIM YOUNG,14291P,BWP 83,7,53350,25200,28150,37,2016-06-08,37,34,3
2016-06-07,626,16,,S975978,WEST FRASER HWP,FMA8800025,EMB,5190491021,Rick Eluik,TIM YOUNG,14291P,BWP 83,7,51050,39560,11490,24,2016-06-08,24,23,1
2016-06-07,626,17,,S975979,WEST FRASER HWP,FMA8800025,EMB,5180480868,Promise,TIM YOUNG,14291P,BWP 83,7,39560,25430,14130,28,2016-06-08,28,25,3
2016-06-08,626,18,,S975980,WEST FRASER HWP,FMA8800025,EMB,5180472818,Leniam,TIM YOUNG,14291P,BWP 83,7,52050,25280,26770,40,2016-06-09,40,39,1
2016-06-10,630,21,,U004313423,OLIVER'S CONTRACTING,PRIVATE,,NW22-54-16-W5,,ALEVOG ,L00904,E604,7,63020,26830,36190,,,,,0
2016-06-11,630,22,,U004313302,OLIVER'S CONTRACTING,PRIVATE,,NW22-54-16-W5,,ALEVOG ,L00904,E604,7,62350,26690,35660,,,,,0
2016-06-14,626,19,SAMPLE,U004313482,WEYERHAEUSER DV,FMA0900046,DV1,5130480598,Lydell,TIM YOUNG,14291P,BWP 83,7,55450,25980,29470,33,2016-06-23,33,32,1
2016-06-15,630,23,,U004313304,OLIVER'S CONTRACTING,PRIVATE,,NW22-54-16-W5,,ALEVOG ,L00904,E604,7,62300,26720,35580,,,,,0
2016-06-15,630,24,,U004313305,OLIVER'S CONTRACTING,PRIVATE,,NW22-54-16-W5,,ALEVOG ,L00904,E604,7,62090,26590,35500,,,,,0
2016-06-16,626,20,,S975981,West Fraser HWP,FMA8800025,EMB,5180483009,Promise,TIM YOUNG,14291P,BWP 83,7,54720,25720,29000,56,2016-06-17,56,50,6
2016-06-16,626,21,,U004313483,WEYERHAEUSER DV,FMA0900046,DV1,5130480598,Lydell,TIM YOUNG,14291P,BWP 83,7,55540,25560,29980,37,2016-06-17,37,36,1
2016-06-17,626,22,,U004313484,WEYERHAEUSER DV,FMA0900046,DV1,5130480598,Lydell,TIM YOUNG,14291P,BWP 83,7,55660,25750,29910,35,2016-07-14,35,33,2
2016-06-17,626,23,,U004313485,WEYERHAEUSER DV,FMA0900046,DV1,5130480598,Lydell,TIM YOUNG,14291P,BWP 83,7,55520,25440,30080,38,2016-06-17,38,38,0
2016-06-17,630,25,,U004313306,OLIVER'S CONTRACTING,PRIVATE,,NW22-54-16-W5,,ALEVOG ,L00904,E604,7,62540,26750,35790,,,,,0
2016-06-18,626,24,SAMPLE,S975982,WEST FRASER HWP,FMA8800025,EMB,5180480868,Promise,TIM YOUNG,14291P,BWP 83,7,55720,25680,30040,52,2016-06-22,54,52,2
2016-06-19,626,25,,U004313335,WEST FRASER HWP,FMA8800025,EMB,5180492073,Zell,RL HARRIS,C18542,P282,7,49440,22960,26480,40,2016-06-17,40,37,3
2016-06-20,626,26,,U004313486,WEYERHAEUSER DV,FMA0900046,DV1,5130480598,Lydell,TIM YOUNG,14291P,BWP 83,7,55820,25790,30030,40,2016-06-29,40,39,1
2016-06-20,626,27,,U004313336,WEST FRASER HWP,FMA8800025,EMB,5180492073,Zell,RL HARRIS,C18542,D661,7,54120,23110,31010,53,,,,0
2016-06-20,626,28,,U004313487,WEYERHAEUSER DV,FMA0900046,DV1,5130480598,Lydell,TIM YOUNG,14291P,BWP 83,7,55600,25760,29840,38,2016-06-21,38,35,3
2016-06-20,626,29,,S960951,WEST FRASER HWP,FMA8800025,EMB,5180492073,Zell,RL HARRIS,C18542,D661,7,54720,23010,31710,58,2016-06-21,58,56,2
2016-06-21,630,26,,U004322976,RL HARRIS CONTRACTING,PRIVATE,,NE8-54-13-W5,,RL HARRIS,H86023,E664,7,44480,20100,24380,,,,,0
2016-06-21,626,30,,S960952,WEST FRASER HWP,FMA8800025,EMB,5180492073,Zell,RL HARRIS,C18542,D661,7,55090,23470,31620,49,2016-06-22,49,44,5
2016-06-21,626,31,,S960953,WEST FRASER HWP,FMA8800025,EMB,5180492073,Zell,RL HARRIS,C18542,D661,7,53780,23550,30230,51,2016-06-22,54,52,2
2016-06-21,626,32,,U004313488,WEYERHAEUSER EDSON,FMA0900046,E15,5160490134,DBC,TIM YOUNG,14291P,BWP 83,7,56270,25920,30350,35,2016-06-22,35,34,1
2016-06-21,626,33,,S960954,WEST FRASER HWP,FMA8800025,EMB,5180492073,Zell,RL HARRIS,C18542,D661,7,53510,23400,30110,53,2016-06-23,53,53,0
2016-06-21,630,27,,U004322977,RL HARRIS CONTRACTING,PRIVATE,,NE8-54-13-W5,,RL HARRIS,H86023,E664,7,45290,20070,25220,,,,,0
2016-06-21,630,28,,U004312886,OLIVER'S CONTRACTING,PRIVATE,,NW22-54-16-W5,,ALEVOG ,L00904,E605,7,49430,26730,22700,,,,,0
2016-06-22,626,34,,U004313489,WEYERHAEUSER EDSON,FMA0900046,E15,5160490134,DBC,TIM YOUNG,14291P,BWP 83,7,55780,25810,29970,33,,,,0
2016-06-22,626,35,,S960955,WEST FRASER HWP,FMA8800025,EMB,5180492073,Zell,RL HARRIS,C18542,D661,7,55320,23420,31900,56,2016-06-28,56,50,6
2016-06-22,626,36,,U004313490,WEYERHAEUSER EDSON,FMA0900046,E15,5160490134,DBC,TIM YOUNG,14291P,BWP 83,7,56180,25670,30510,33,2016-06-27,33,33,0
