2017-03-30,630,157,,U004357077,BIG BITE MULCHING,PRIVATE,,SE12-53-11-W5,,ALEVOG ,L00904,E604,8,62850,27700,35150,,,,,0
2017-03-30,630,158,,U004313113,BIG BITE MULCHING,PRIVATE,,SE12-53-11-W5,,ALEVOG ,L59404,E605,8,62380,27880,34500,,,,,0
2017-03-31,680,314,,U005353297,MILLAR WESTERN,CTLW06F005,ETA-37,,HAGGART,,K46791,,8,48560,28610,19950,,,,,0
2017-04-02,626,417,,S1014468,WEST FRASER,FMA8800025,EMB,5190482340,PROMISE,TIM YOUNG,14291P,BWP83,7,54490,25910,28580,,,,,0
2017-04-04,626,418,,Q235183,WEST FRASER,FMA8800025,EMB,5180491435,LYDELL,TIM YOUNG,14291P,BWP83,7,54910,25660,29250,,,,,0
2017-04-05,626,419,,Q235184,WEST FRASER,FMA9700032,,6-019-3315,LYDELL,TIM YOUNG,14291P,BWP83,7,55240,25760,29480,48,,,,0
2017-04-06,626,420,,S1014469,WEST FRASER,FMA8800025,EMB,5180491435,LYDELL,TIM YOUNG,14291P,BWP83,7,55890,25630,30260,53,,,,0
